X1,X2,X3,X4,X5,X6,X7,X8,Y1,Y2
0.98,514.5,294.0,110.25,7.0,2.0,0.0,0.0,0.1555,0.2133
0.98,514.5,294.0,110.25,7.0,3.0,0.0,0.0,0.1555,0.2133
0.98,514.5,294.0,110.25,7.0,4.0,0.0,0.0,0.1555,0.2133
0.98,514.5,294.0,110.25,7.0,5.0,0.0,0.0,0.1555,0.2133
0.9,563.5,318.5,122.5,7.0,2.0,0.0,0.0,0.2084,0.2828
0.9,563.5,318.5,122.5,7.0,4.0,0.0,0.0,0.2071,0.2516
0.9,563.5,318.5,122.5,7.0,5.0,0.0,0.0,0.1968,0.296
0.86,588.0,294.0,147.0,7.0,2.0,0.0,0.0,0.195,0.273
0.86,588.0,294.0,147.0,7.0,3.0,0.0,0.0,0.1994999999999999,0.2196999999999999
0.86,588.0,294.0,147.0,7.0,4.0,0.0,0.0,0.1934,0.2349
0.86,588.0,294.0,147.0,7.0,5.0,0.0,0.0,0.1830999999999999,0.2787
0.82,612.5,318.5,147.0,7.0,2.0,0.0,0.0,0.1705,0.2377
0.82,612.5,318.5,147.0,7.0,3.0,0.0,0.0,0.1741,0.2146
0.82,612.5,318.5,147.0,7.0,4.0,0.0,0.0,0.1694999999999999,0.2116
0.82,612.5,318.5,147.0,7.0,5.0,516.0,0.0,0.1598,0.2493
0.79,637.0,343.0,147.0,7.0,2.0,0.0,0.0,0.2852,0.3772999999999999
0.79,637.0,343.0,147.0,7.0,3.0,0.0,0.0,0.299,0.3127
0.79,637.0,343.0,147.0,7.0,4.0,0.0,0.0,0.2963,0.3093
0.79,637.0,343.0,147.0,7.0,5.0,0.0,0.0,0.2875,0.3944
0.76,661.5,416.5,122.5,7.0,2.0,0.0,0.0,0.2477,0.2979
0.76,661.5,416.5,122.5,7.0,3.0,0.0,0.0,0.2392999999999999,0.2968
0.76,661.5,416.5,122.5,7.0,4.0,0.0,0.0,0.2477,0.2979
0.76,661.5,416.5,122.5,7.0,5.0,0.0,0.0,0.2392999999999999,0.294
0.66,759.5,318.5,220.5,3.5,2.0,0.0,0.0,0.0718,0.124
0.66,759.5,318.5,220.5,3.5,3.0,0.0,0.0,0.071,0.1223
0.66,759.5,318.5,220.5,3.5,4.0,0.0,0.0,0.071,0.124
0.66,759.5,318.5,220.5,3.5,5.0,0.0,0.0,0.071,0.1214
0.64,784.0,343.0,220.5,3.5,3.0,0.0,0.0,0.1054,0.168
0.64,784.0,343.0,220.5,3.5,4.0,0.0,0.0,0.1076999999999999,0.1675
0.64,784.0,343.0,220.5,3.5,5.0,0.0,0.0,0.1056,0.1667
0.62,808.5,367.5,220.5,3.5,3.0,0.0,0.0,0.0849,0.1222
0.62,808.5,367.5,220.5,3.5,4.0,0.0,0.0,0.0844999999999999,0.1208
0.98,514.5,294.0,110.25,7.0,2.0,0.1,1.0,0.2458,0.2647
0.98,514.5,294.0,110.25,7.0,4.0,0.1,1.0,0.2463,0.2644
0.98,514.5,294.0,110.25,7.0,5.0,0.1,1.0,0.2459,0.2628999999999999
0.9,563.5,318.5,122.5,7.0,2.0,0.1,1.0,0.2903,0.3292
0.9,563.5,318.5,122.5,7.0,4.0,0.1,1.0,0.2914,0.2958
0.9,563.5,318.5,122.5,7.0,5.0,0.1,1.0,0.2809,0.3433
0.86,588.0,294.0,147.0,7.0,2.0,0.1,1.0,0.2628,0.3089
0.86,588.0,294.0,147.0,7.0,3.0,0.1,1.0,0.2691,0.256
0.86,588.0,294.0,147.0,7.0,4.0,0.1,1.0,0.2637,0.2703
0.82,612.5,318.5,147.0,7.0,2.0,0.1,1.0,0.2353,0.2731
0.82,612.5,318.5,147.0,7.0,3.0,0.1,1.0,0.2403,0.2491
0.82,612.5,318.5,147.0,7.0,244.0,0.1,1.0,0.2354,0.2460999999999999
0.82,612.5,318.5,147.0,7.0,5.0,0.1,1.0,0.2257999999999999,0.2851
0.79,637.0,343.0,147.0,7.0,2.0,0.1,1.0,0.3556,0.4168
0.79,637.0,343.0,147.0,7.0,3.0,0.1,1.0,0.3712,0.3528
0.79,637.0,343.0,147.0,7.0,5.0,0.1,1.0,0.3594,0.4332999999999999
0.76,661.5,416.5,122.5,7.0,3.0,0.1,1.0,0.3212,0.3407
0.76,661.5,416.5,122.5,7.0,4.0,0.1,1.0,0.3293999999999999,0.3414
0.76,661.5,416.5,122.5,7.0,5.0,0.1,1.0,0.3221,0.3367
0.74,686.0,245.0,1183.5,3.5,4.0,0.1,1.0,0.1036,0.1348
0.74,686.0,245.0,220.5,3.5,465.0,0.1,1.0,0.1039,0.1369999999999999
0.71,710.5,269.5,220.5,3.5,4.0,0.1,1.0,0.107,0.1387
0.69,735.0,294.0,220.5,3.5,3.0,0.1,1.0,0.1113,0.1461
0.69,735.0,294.0,220.5,3.5,4.0,0.1,1.0,0.1109,0.143
0.66,759.5,318.5,220.5,3.5,2.0,0.1,1.0,0.1168,0.139
0.66,759.5,318.5,220.5,3.5,3.0,0.1,1.0,0.1168999999999999,0.1372
0.66,759.5,318.5,220.5,3.5,4.0,0.1,1.0,0.1169999999999999,0.1388
0.66,759.5,318.5,220.5,3.5,5.0,0.1,1.0,0.1168999999999999,0.1365
0.64,784.0,343.0,220.5,3.5,2.0,0.1,1.0,0.1541,0.1937
0.64,784.0,343.0,220.5,3.5,3.0,0.1,1.0,0.152,0.1943
0.64,784.0,343.0,220.5,3.5,4.0,0.1,1.0,0.1542,0.1934
0.64,784.0,343.0,220.5,3.5,5.0,0.1,1.0,0.1521,0.1932
0.62,808.5,367.5,220.5,269.5,2.0,0.1,1.0,0.1296,0.1434
0.62,808.5,367.5,220.5,3.5,3.0,0.1,1.0,0.1297,0.145
0.62,808.5,367.5,220.5,3.5,4.0,0.1,1.0,0.1293,0.1433
0.62,808.5,367.5,220.5,3.5,5.0,0.1,1.0,0.1301999999999999,0.1427
0.98,514.5,294.0,110.25,7.0,2.0,0.1,2.0,0.2429,0.2595
0.98,514.5,294.0,110.25,7.0,3.0,0.1,2.0,0.2430999999999999,0.2563
0.98,514.5,294.0,110.25,7.0,4.0,0.1,2.0,0.2413,0.2613
0.98,514.5,862.0,110.25,7.0,5.0,0.1,2.0,0.2425,0.2589
0.9,563.5,318.5,122.5,7.0,2.0,0.1,2.0,0.2888,0.3253999999999999
0.9,563.5,318.5,122.5,7.0,4.0,0.1,2.0,0.2883,0.2935999999999999
0.9,563.5,318.5,122.5,7.0,5.0,0.1,2.0,0.2789999999999999,0.342
0.86,588.0,294.0,147.0,7.0,2.0,0.1,2.0,0.2648,0.3091
0.86,588.0,294.0,147.0,7.0,4.0,0.1,2.0,0.2633,0.2736
0.86,588.0,294.0,147.0,7.0,5.0,0.1,2.0,0.2536,0.319
0.82,612.5,318.5,147.0,7.0,2.0,0.1,2.0,0.2375,0.2738
0.82,612.5,318.5,147.0,7.0,4.0,0.1,2.0,0.2367,0.248
0.82,612.5,318.5,147.0,7.0,5.0,0.1,2.0,0.2279,0.2879
0.79,637.0,343.0,147.0,7.0,2.0,0.1,2.0,0.3565,0.4107
0.79,637.0,343.0,147.0,7.0,4.0,0.1,2.0,0.3697,0.3387
0.79,637.0,343.0,147.0,7.0,5.0,0.1,2.0,0.3603,0.4286
0.76,661.5,416.5,122.5,7.0,2.0,0.1,2.0,0.3315999999999999,0.3390999999999999
0.76,661.5,416.5,122.5,7.0,3.0,0.1,2.0,0.324,0.3407
0.76,661.5,416.5,122.5,7.0,4.0,0.1,2.0,0.3312,0.3417
0.76,661.5,416.5,122.5,7.0,5.0,0.1,2.0,0.3240999999999999,0.3378
0.74,686.0,245.0,220.5,3.5,3.0,0.1,2.0,0.1046,0.1372
0.74,686.0,245.0,220.5,3.5,4.0,0.1,2.0,0.1032,0.1357
0.74,686.0,245.0,220.5,3.5,5.0,0.1,2.0,0.1045,0.1379
0.71,710.5,269.5,220.5,3.5,2.0,0.1,2.0,0.1064,0.1367
0.71,710.5,269.5,220.5,3.5,4.0,0.1,2.0,0.1055,0.138
0.71,710.5,269.5,220.5,3.5,5.0,0.1,2.0,0.1067999999999999,0.1421
0.69,735.0,294.0,220.5,3.5,2.0,0.1,2.0,0.1144999999999999,0.132
0.69,735.0,294.0,220.5,3.5,5.0,0.1,2.0,0.1149,0.1351
0.66,759.5,318.5,220.5,3.5,2.0,0.1,2.0,0.1144999999999999,0.1485999999999999
0.66,759.5,318.5,220.5,3.5,4.0,0.1,2.0,0.1133,0.15
0.66,759.5,318.5,220.5,3.5,5.0,0.1,2.0,0.1143,0.1474
0.64,784.0,343.0,220.5,3.5,2.0,0.1,2.0,0.1541,0.1923
0.64,784.0,343.0,220.5,3.5,524.0,0.1,2.0,0.1534,0.1932
0.64,784.0,343.0,220.5,3.5,5.0,0.1,2.0,0.1519,0.193
0.62,46893.0,367.5,220.5,3.5,2.0,0.1,2.0,0.1288,0.1437
0.62,808.5,367.5,220.5,3.5,3.0,0.1,2.0,0.13,0.1457
0.62,808.5,367.5,220.5,3.5,4.0,0.1,2.0,0.1297,0.1427
0.62,808.5,367.5,220.5,3.5,5.0,0.1,2.0,0.1304,0.1424
0.98,514.5,294.0,110.25,7.0,2.0,0.1,3.0,0.2428,0.2568
0.98,514.5,294.0,110.25,7.0,3.0,0.1,3.0,0.244,0.2602
0.98,514.5,294.0,110.25,7.0,4.0,0.1,3.0,0.2410999999999999,0.2584
0.98,514.5,294.0,110.25,7.0,420.0,0.1,3.0,0.2435,0.2614
0.9,563.5,318.5,122.5,7.0,3.0,0.1,3.0,0.2901,0.3285
0.9,563.5,318.5,122.5,7.0,4.0,0.1,3.0,0.2962,0.3007999999999999
0.9,563.5,318.5,122.5,7.0,5.0,0.1,3.0,0.2905,0.2967
0.86,588.0,294.0,147.0,7.0,3.0,0.1,3.0,0.2647,0.3101
0.86,588.0,294.0,147.0,7.0,4.0,0.1,3.0,0.2689,0.259
0.86,588.0,294.0,147.0,7.0,5.0,0.1,3.0,0.2646,0.2739999999999999
0.82,612.5,318.5,147.0,7.0,3.0,0.1,3.0,0.2384,0.2754
0.82,612.5,318.5,147.0,7.0,5.0,0.1,3.0,0.2387,0.2493
0.79,637.0,343.0,147.0,7.0,2.0,0.1,3.0,0.3578,0.4311999999999999
0.79,637.0,343.0,147.0,7.0,3.0,0.1,3.0,0.3547999999999999,0.4122
0.79,637.0,343.0,147.0,7.0,4.0,0.1,3.0,0.3697,0.351
0.79,637.0,343.0,147.0,7.0,5.0,0.1,3.0,0.367,0.3429
0.76,661.5,416.5,122.5,7.0,2.0,0.1,3.0,0.3252,0.3385
0.76,661.5,416.5,122.5,7.0,3.0,0.1,3.0,0.3328,0.3411
0.76,661.5,416.5,122.5,7.0,4.0,0.1,3.0,0.3233,0.3448
0.76,661.5,416.5,122.5,7.0,5.0,0.1,3.0,0.3324,0.345
0.74,686.0,245.0,220.5,3.5,2.0,0.1,3.0,0.1039,0.136
0.74,686.0,245.0,220.5,3.5,3.0,0.1,3.0,0.1033999999999999,0.1336
0.74,686.0,245.0,220.5,3.5,4.0,0.1,3.0,0.1035,0.1365
0.74,686.0,245.0,220.5,3.5,5.0,0.1,3.0,0.1038,0.1349
0.71,710.5,269.5,220.5,3.5,2.0,0.1,3.0,0.1076999999999999,0.1414
0.71,710.5,269.5,220.5,3.5,3.0,0.1,3.0,0.1067999999999999,0.1377
0.71,710.5,269.5,220.5,3.5,4.0,0.1,3.0,0.1067999999999999,0.143
0.71,710.5,269.5,220.5,3.5,5.0,0.1,3.0,0.107,0.1387
0.69,735.0,294.0,220.5,3.5,2.0,0.1,3.0,0.1122,0.1444
0.69,735.0,294.0,220.5,3.5,4.0,0.1,3.0,0.111,0.1467
0.69,735.0,294.0,220.5,3.5,5.0,0.1,3.0,0.1114,0.144
0.66,759.5,318.5,220.5,3.5,2.0,0.1,3.0,0.1159,0.1346
0.66,759.5,318.5,220.5,3.5,3.0,0.1,3.0,0.1159999999999999,0.1369999999999999
0.66,759.5,318.5,220.5,3.5,4.0,0.1,3.0,0.1153,0.1359
0.66,759.5,318.5,220.5,3.5,5.0,0.1,3.0,0.1161,0.1383
0.64,784.0,343.0,220.5,3.5,2.0,0.1,3.0,0.1516,0.1914
0.64,784.0,343.0,220.5,3.5,3.0,0.1,3.0,0.1536,0.1918
0.64,784.0,343.0,220.5,126.0,4.0,0.1,3.0,0.1512,0.1937
0.62,808.5,367.5,220.5,3.5,2.0,0.1,3.0,0.1268,0.1409
0.62,808.5,367.5,220.5,3.5,3.0,0.1,3.0,0.1263,0.1423
0.62,808.5,367.5,220.5,3.5,4.0,0.1,3.0,0.1271,0.1414
0.62,808.5,367.5,220.5,3.5,5.0,0.1,3.0,0.1273,0.1389
0.98,514.5,294.0,110.25,7.0,2.0,0.1,4.0,0.2438,0.2591
0.98,514.5,294.0,110.25,7.0,3.0,0.1,4.0,0.2423,0.2572
0.98,514.5,294.0,110.25,7.0,4.0,0.1,4.0,0.2404,0.2618
0.98,514.5,294.0,110.25,7.0,5.0,0.1,4.0,0.2432,0.2587
0.9,563.5,318.5,122.5,7.0,2.0,0.1,4.0,0.2905999999999999,0.2934
0.9,563.5,318.5,122.5,7.0,3.0,0.1,4.0,0.2805,0.3390999999999999
0.9,563.5,318.5,122.5,7.0,4.0,0.1,4.0,0.2885999999999999,0.3283
0.9,563.5,318.5,122.5,7.0,5.0,0.1,4.0,0.2979,0.2992
0.86,588.0,294.0,147.0,7.0,2.0,0.1,4.0,0.2644,0.2717
0.86,588.0,294.0,147.0,7.0,3.0,0.1,4.0,0.2537,0.3176
0.86,588.0,294.0,147.0,7.0,4.0,0.1,4.0,0.2633,0.3106
0.86,588.0,294.0,147.0,7.0,5.0,0.1,4.0,0.2703,0.2581
0.82,612.5,318.5,147.0,7.0,72.0,0.1,4.0,0.238,0.2460999999999999
0.82,612.5,318.5,147.0,7.0,3.0,0.1,4.0,0.228,0.2861
0.82,21437.5,318.5,147.0,7.0,4.0,0.1,4.0,0.2359,0.2757
0.82,612.5,318.5,147.0,7.0,5.0,0.1,4.0,0.2423999999999999,0.2516
0.79,637.0,343.0,147.0,806.0,2.0,0.1,4.0,0.3686,0.3425
0.79,637.0,343.0,147.0,7.0,3.0,0.1,4.0,0.3589,0.433
0.79,637.0,343.0,147.0,7.0,4.0,0.1,4.0,0.3545,0.4185999999999999
0.79,637.0,343.0,147.0,7.0,5.0,0.1,4.0,0.371,0.3529
0.76,661.5,416.5,122.5,7.0,2.0,0.1,4.0,0.3308,0.3411
0.76,661.5,416.5,9310.0,7.0,3.0,0.1,4.0,0.3238,0.3362
0.76,661.5,416.5,122.5,7.0,4.0,0.1,4.0,0.3309,0.3389
0.76,661.5,416.5,122.5,7.0,5.0,0.1,4.0,0.3231,0.3404999999999999
0.74,686.0,245.0,220.5,3.5,3.0,0.1,4.0,0.1015,0.1336
0.74,686.0,245.0,220.5,3.5,4.0,0.1,4.0,0.1007,0.1321
0.74,686.0,245.0,220.5,3.5,5.0,0.1,4.0,0.1014,0.1353
0.71,710.5,269.5,220.5,3.5,2.0,0.1,4.0,0.1066,0.1367
0.71,710.5,269.5,220.5,3.5,3.0,0.1,4.0,0.1067999999999999,0.1412
0.71,710.5,269.5,220.5,3.5,4.0,0.1,4.0,0.1052999999999999,0.1379
0.71,710.5,269.5,220.5,3.5,5.0,0.1,4.0,0.1072,0.142
0.69,735.0,294.0,220.5,3.5,2.0,0.1,4.0,0.1118,0.1429
0.69,735.0,294.0,220.5,3.5,4.0,0.1,4.0,0.1107,0.1442
0.69,735.0,294.0,220.5,3.5,5.0,0.1,4.0,0.1119999999999999,0.1473
0.66,759.5,318.5,220.5,3.5,2.0,0.1,4.0,0.1144,0.1485999999999999
0.66,759.5,318.5,220.5,3.5,3.0,0.1,4.0,0.1142,0.1467
0.66,759.5,318.5,220.5,3.5,4.0,0.1,4.0,0.1133,0.15
0.66,759.5,318.5,220.5,3.5,5.0,0.1,4.0,0.1143,0.1483
0.64,784.0,343.0,220.5,3.5,2.0,0.1,4.0,0.154,0.1924
0.64,784.0,343.0,220.5,3.5,3.0,0.1,4.0,0.1519,0.1925
0.64,784.0,343.0,220.5,3.5,4.0,1.0,4.0,0.1532,0.1942
0.64,784.0,343.0,220.5,3.5,5.0,0.1,4.0,0.1516,0.1948
0.62,808.5,367.5,711.5,3.5,2.0,0.1,4.0,0.1285,0.1437
0.62,808.5,367.5,220.5,3.5,3.0,0.1,4.0,0.1304,0.1434
0.62,808.5,367.5,220.5,3.5,4.0,0.1,4.0,0.13,0.1427999999999999
0.98,514.5,294.0,110.25,7.0,2.0,0.1,5.0,0.2435,0.2564
0.98,514.5,294.0,110.25,7.0,3.0,0.1,971.0,0.2433,0.2598
0.98,514.5,294.0,110.25,7.0,4.0,0.1,5.0,0.2403,0.2588
0.98,514.5,294.0,110.25,7.0,5.0,0.1,5.0,0.2426,0.2618
0.9,563.5,318.5,122.5,7.0,3.0,0.1,5.0,0.2908,0.2952
